Category,Sub-Category,Profit per Order,Quantity,Sales,Sales per Customer
Office Supplies,Binders,5.7,4,16,15.71
Office Supplies,Binders,3.8,4,11,11.26
Office Supplies,Paper,27.44,4,84,84.42
Office Supplies,Paper,11.1,4,33,32.9
Office Supplies,Art,1.15,5,13,13.12
Office Supplies,Binders,64.2,5,171,171.2
Office Supplies,Binders,5.58,5,17,16.52
Office Supplies,Binders,9.64,5,31,30.84
Office Supplies,Binders,39.52,5,122,121.6
Office Supplies,Binders,13.96,5,41,41.36
Office Supplies,Binders,6.55,5,19,18.72
Office Supplies,Binders,9.53,5,27,27.24
Office Supplies,Binders,8.02,5,23,22.92
Office Supplies,Binders,56.55,5,151,150.8
Office Supplies,Binders,62.91,5,168,167.76
Office Supplies,Labels,3.74,5,12,11.52
Office Supplies,Paper,6.72,5,20,19.92
Office Supplies,Paper,13.08,5,40,40.24
Office Supplies,Storage,6.29,5,56,55.92
Office Supplies,Storage,-94.33,5,444,443.92
Office Supplies,Storage,-167.27,5,669,669.08
Office Supplies,Supplies,-2.6,5,14,13.88
Office Supplies,Art,9.71,6,86,86.3
Office Supplies,Binders,9.04,6,26,25.82
Office Supplies,Binders,5.43,6,15,14.98
Office Supplies,Binders,37.76,6,101,100.7
Office Supplies,Paper,10.89,6,31,31.1
Office Supplies,Paper,46.47,6,149,148.7
Office Supplies,Storage,-58.69,6,247,247.1
Office Supplies,Supplies,4.4,6,39,39.07
Office Supplies,Art,10.7,7,95,95.14
Office Supplies,Art,8.29,7,51,51.02
Office Supplies,Binders,41.12,7,117,117.49
Office Supplies,Binders,884.06,7,2357,2357.49
Office Supplies,Binders,6.56,7,18,18.09
Office Supplies,Binders,41.12,7,117,117.49
Office Supplies,Binders,46.18,7,123,123.14
Office Supplies,Binders,3.53,7,10,10.08
Office Supplies,Binders,643.98,7,2061,2060.74
Office Supplies,Binders,13.49,7,43,43.18
Office Supplies,Binders,15.34,7,47,47.21
Office Supplies,Binders,15.82,7,49,48.66
Office Supplies,Envelopes,7.6,7,22,21.73
Office Supplies,Labels,9.06,7,28,27.89
Office Supplies,Paper,12.7,7,36,36.29
Office Supplies,Paper,37.18,7,106,106.23
Office Supplies,Storage,-1.26,7,33,33.49
Office Supplies,Supplies,3.6,7,48,47.99
Office Supplies,Binders,29.7,8,91,91.39
Office Supplies,Binders,40.37,8,120,119.62
Office Supplies,Binders,682.52,8,2022,2022.27
Office Supplies,Paper,61.96,8,198,198.27
Office Supplies,Paper,69.7,9,223,223.06
Office Supplies,Binders,11.03,11,32,31.5
Office Supplies,Binders,16.52,11,46,45.58
Office Supplies,Binders,190.02,11,563,563.02
Office Supplies,Binders,15.8,12,44,43.58
Office Supplies,Appliances,84.57,13,846,845.73
Office Supplies,Binders,38.02,13,122,121.68
Office Supplies,Binders,17.54,14,54,53.98
Office Supplies,Binders,-6.56,1,9,8.56
Office Supplies,Binders,-48.39,2,73,72.59
Office Supplies,Binders,-0.79,2,1,1.08
Office Supplies,Binders,-13.31,2,20,19.97
Office Supplies,Binders,-0.79,2,1,1.08
Office Supplies,Binders,-6.12,4,8,7.66
Office Supplies,Binders,-6.12,4,9,8.74
Office Supplies,Binders,-4.52,4,6,6.46
Office Supplies,Binders,-4.6,5,6,6.27
Office Supplies,Binders,-6.54,5,9,9.35
Office Supplies,Binders,-694.29,6,947,946.76
Office Supplies,Binders,-3.35,7,4,4.37
Office Supplies,Binders,-16.6,7,23,22.64
Office Supplies,Binders,-18.45,8,26,26.35
Office Supplies,Binders,-25.06,10,31,31.32
Technology,Accessories,30.6,1,85,84.99
Technology,Phones,31.5,1,126,125.99
Technology,Phones,18.87,2,70,69.9
Technology,Phones,62.15,2,222,221.98
Technology,Phones,71.97,2,240,239.9
Technology,Accessories,50.99,3,150,149.97
Technology,Phones,80.74,3,278,278.4
Technology,Accessories,63.98,5,200,199.95
Technology,Phones,62.93,5,225,224.75
Technology,Accessories,61.33,11,175,175.23
Technology,Phones,0.7,1,8,7.99
Technology,Accessories,14.4,2,48,47.98
Technology,Phones,6,2,96,95.98
Technology,Phones,3.47,2,11,11.12
Technology,Phones,12.31,2,35,35.18
Technology,Phones,15.04,2,150,150.38
Technology,Accessories,-0.27,3,21,21.48
Technology,Accessories,-13.44,3,119,119.45
Technology,Phones,20.25,3,324,323.98
Technology,Phones,-9.15,3,41,40.68
Technology,Phones,52.92,3,470,470.38
Technology,Phones,6.72,3,67,67.18
Technology,Accessories,13.3,8,63,62.59
Technology,Phones,11.51,8,115,115.14
Technology,Accessories,34.39,1,78,78.15
Technology,Accessories,8,2,100,99.98
Technology,Phones,113.67,2,392,391.98
Technology,Phones,78.85,2,272,271.9
Technology,Phones,33.5,2,134,133.98
Technology,Phones,89.31,2,308,307.98
Technology,Accessories,30.09,3,177,177
Technology,Phones,3.87,3,129,128.85
Technology,Phones,2.4,3,240,239.97
Technology,Phones,160.67,3,618,617.97
Technology,Phones,47.81,3,165,164.85
Technology,Phones,100.79,3,360,359.97
Technology,Accessories,34.69,4,248,247.8
Technology,Accessories,11.49,4,88,88.4
Technology,Phones,33.59,4,120,119.96
Technology,Phones,71.27,4,264,263.96
Technology,Phones,157.49,5,630,629.95
Technology,Phones,274.39,5,980,979.95
Technology,Accessories,9.82,6,98,98.16
Technology,Phones,224.44,6,774,773.94
Technology,Phones,661.46,9,1350,1349.91
Technology,Accessories,-1.19,1,47,47.5
Technology,Copiers,175,1,560,559.99
Technology,Accessories,25.6,2,128,127.98
Technology,Accessories,85.79,2,528,527.92
Technology,Accessories,14.4,2,48,47.98
Technology,Accessories,-4.64,3,53,53.04
Technology,Accessories,-75.6,3,432,431.98
Technology,Accessories,4.82,3,17,16.78
Technology,Accessories,19.79,3,72,71.98
Technology,Accessories,-7.72,3,618,617.98
Technology,Accessories,34.79,5,133,132.52
Technology,Accessories,53.55,5,252,252
Technology,Accessories,607.61,6,2025,2025.36
Technology,Phones,-17,2,102,101.99
Technology,Phones,-114,2,684,683.99
Technology,Phones,-21,2,84,83.99
Technology,Copiers,192,4,1440,1439.98
Technology,Phones,-34.31,4,158,158.38
Technology,Copiers,240,5,1800,1799.97
Technology,Phones,94.49,7,630,629.96
Technology,Machines,-18.04,1,13,12.59
Technology,Machines,-2639.99,2,1800,1799.99
Technology,Machines,-168.82,2,241,241.17
Technology,Machines,-164.95,3,225,224.94
Technology,Phones,17.99,2,60,59.98
Technology,Phones,148.11,2,570,569.64
Technology,Accessories,5.1,3,27,26.85
Technology,Accessories,129.35,3,323,323.37
Technology,Accessories,27.69,4,71,71
Technology,Accessories,15.38,5,35,34.95
Technology,Accessories,65.98,5,150,149.95
Technology,Accessories,75.57,6,180,179.94
Technology,Accessories,41.53,6,107,106.5
Technology,Accessories,98.14,13,273,272.61
Technology,Accessories,-0.73,1,12,11.67
Technology,Accessories,2.31,2,18,18.46
Technology,Phones,4.48,2,45,44.78
Technology,Accessories,-18,3,120,119.98
Technology,Phones,4.8,3,48,47.98
Technology,Phones,17,5,272,271.96
Technology,Phones,0.69,5,8,7.92
Technology,Machines,-7.2,2,120,120
Technology,Machines,-27.83,2,696,695.7
Technology,Machines,-1.98,3,33,32.98
Technology,Accessories,6.3,1,30,29.99
Technology,Accessories,3.46,1,12,11.54
Technology,Accessories,34.99,2,100,99.98
Technology,Accessories,10.95,2,100,99.54
Technology,Accessories,2.58,2,26,25.78
Technology,Accessories,26.39,2,80,79.98
Technology,Accessories,15.12,2,72,71.98
Technology,Accessories,146.77,3,772,772.47
Technology,Accessories,22.43,3,62,62.31
Technology,Accessories,37.79,3,90,89.97
Technology,Accessories,85.98,4,200,199.96
Technology,Accessories,54.33,4,133,132.52
Technology,Accessories,142.48,5,475,474.95
Technology,Accessories,29.03,5,83,82.95
Technology,Accessories,659.98,5,1650,1649.95
Technology,Accessories,128.97,6,300,299.94
Technology,Accessories,34.98,7,140,139.93
Technology,Copiers,60,2,480,479.98
Technology,Phones,1.2,2,16,15.98
Technology,Phones,38.78,2,345,344.7
Technology,Phones,50.12,2,573,572.8
Technology,Phones,34.18,2,456,455.71
Technology,Accessories,21.59,3,72,71.98
Technology,Accessories,-4.64,3,53,53.04
Technology,Phones,22.68,3,302,302.38
Technology,Phones,15.84,4,211,211.17
Technology,Phones,2.4,4,32,31.97
Technology,Phones,47.46,4,127,126.56
Technology,Phones,50.4,5,504,503.96
Technology,Phones,126,5,1680,1679.96
Technology,Phones,-131.5,6,658,657.5
Technology,Phones,15.74,7,126,125.94
Technology,Phones,34.5,10,552,552
Technology,Phones,0.44,1,11,10.95
Technology,Copiers,209.99,2,600,599.98
Technology,Accessories,46.54,4,114,113.52
Technology,Accessories,244.62,5,1287,1287.45
Technology,Accessories,-7.2,1,64,63.99
Technology,Phones,4.14,1,37,36.79
Technology,Accessories,-4.91,3,39,39.26
Technology,Accessories,20.87,3,80,79.51
Technology,Accessories,20.34,3,96,95.74
Technology,Phones,-12.41,3,55,55.18
Technology,Accessories,11.2,5,224,223.96
Technology,Phones,8,5,80,79.96
Technology,Accessories,24.94,1,166,166.24
Technology,Phones,62.39,2,130,129.98
Technology,Machines,364.46,3,1350,1349.85
Technology,Phones,352.31,3,1215,1214.85
Technology,Phones,78.39,4,280,279.96
Technology,Phones,6,6,120,119.94
Technology,Accessories,762.18,7,2310,2309.65
Technology,Accessories,13.2,8,120,120
Technology,Accessories,7.26,2,58,58.11
Technology,Accessories,44,2,160,159.98
Technology,Accessories,-3.56,3,142,142.49
Technology,Phones,-7.4,2,44,44.38
Technology,Phones,-89.09,2,486,485.94
Technology,Accessories,7.25,2,29,29
Technology,Accessories,15.12,2,72,71.98
Technology,Accessories,21,4,100,100
Technology,Phones,2.71,1,36,36.19
Technology,Phones,1.03,2,12,11.82
Technology,Accessories,4.99,3,23,23.47
Technology,Phones,70.56,4,627,627.17
Technology,Phones,51.5,5,824,823.96
Technology,Phones,85.25,5,1364,1363.96
Technology,Accessories,89.59,7,448,447.94
Technology,Phones,-13.29,7,56,55.94
Technology,Phones,86.39,9,864,863.93
Technology,Accessories,86.39,3,180,179.97
Technology,Accessories,26.39,6,240,239.94
Technology,Accessories,601.97,7,1400,1399.93
Technology,Accessories,49.27,9,448,447.93
Technology,Phones,18.54,1,165,164.79
Technology,Copiers,944.99,5,2800,2799.96
Technology,Phones,-17.99,5,80,79.96
Technology,Phones,6.29,9,72,71.93
Technology,Machines,22.65,2,84,83.9
Technology,Accessories,165.29,3,394,393.54
Technology,Phones,35.29,3,136,135.72
Technology,Phones,28.31,3,105,104.85
Technology,Phones,71.27,4,264,263.96
Technology,Accessories,11.18,5,160,159.75
Technology,Accessories,124.68,5,831,831.2
Technology,Accessories,53.43,5,297,296.85
Technology,Accessories,55.92,6,155,155.34
Technology,Accessories,41.95,6,105,104.88
Technology,Accessories,6.77,6,113,112.8
Technology,Accessories,43.6,7,112,111.79
Technology,Accessories,23.42,12,167,167.28
Technology,Accessories,-2.37,2,95,94.99
Technology,Accessories,-2.7,2,24,24
Technology,Accessories,-3.27,2,26,26.18
Technology,Phones,16.7,2,148,148.48
Technology,Accessories,53.99,3,240,239.98
Technology,Accessories,-18,3,120,119.98
Technology,Accessories,-7.44,3,298,297.58
Technology,Accessories,3.31,3,16,15.58
Technology,Phones,36,3,360,359.98
Technology,Phones,13.86,3,158,158.38
Technology,Accessories,3.28,4,24,23.84
Technology,Accessories,95.99,4,320,319.97
Technology,Phones,49.44,4,659,659.17
Technology,Accessories,83.99,5,240,239.96
Technology,Accessories,84.66,5,398,398.4
Technology,Phones,54,5,720,719.96
Technology,Phones,51.5,5,824,823.96
Technology,Accessories,89.99,6,480,479.95
Technology,Accessories,52.5,7,1400,1399.94
Technology,Phones,53.75,7,538,537.54
Technology,Phones,52.49,7,420,419.94
Technology,Machines,-79.91,2,400,399.54
Technology,Accessories,2.24,1,32,31.95
Technology,Phones,11.6,1,40,39.99
Technology,Phones,36.72,1,136,135.99
Technology,Accessories,8.8,2,42,41.9
Technology,Accessories,11.15,2,32,31.86
Technology,Phones,89.31,2,308,307.98
Technology,Phones,4,2,100,99.98
Technology,Phones,89.31,2,308,307.98
Technology,Accessories,18.26,3,57,57.06
Technology,Accessories,71.99,3,240,239.97
Technology,Accessories,177.59,3,480,479.97
Technology,Phones,35.86,3,138,137.94
Technology,Phones,176.17,3,678,677.58
Technology,Phones,303.34,4,632,631.96
Technology,Accessories,34.96,5,87,87.4
Technology,Phones,43.18,5,90,89.95
Technology,Phones,264.59,5,980,979.95
Technology,Phones,539.92,5,1800,1799.75
Technology,Accessories,17.24,6,133,132.6
Technology,Phones,31.12,6,120,119.7
Technology,Phones,233.22,7,833,832.93
Technology,Accessories,13.6,8,72,71.6
Technology,Accessories,171.36,9,1071,1071
Technology,Phones,134.33,14,280,279.86
Technology,Accessories,-2.7,2,24,24
Technology,Accessories,0.6,2,48,47.98
Technology,Accessories,0.5,2,40,40
Technology,Accessories,23,2,80,79.98
Technology,Accessories,0.6,2,48,47.98
Technology,Accessories,-9,3,72,71.98
Technology,Accessories,5.03,3,17,16.78
Technology,Accessories,35.99,5,120,119.96
Technology,Accessories,107.99,6,480,479.95
Technology,Accessories,-4.85,6,65,64.7
Technology,Phones,-36.25,1,155,155.37
Technology,Phones,-31.62,1,136,135.52
Technology,Phones,-7.26,1,40,39.59
Technology,Phones,-9.18,1,46,45.89
Technology,Copiers,110,2,660,659.99
Technology,Phones,-2.08,2,10,9.59
Technology,Phones,-93.08,2,430,429.6
Technology,Phones,4.05,3,27,26.98
Technology,Phones,-27,3,108,107.98
Technology,Phones,40.5,3,270,269.98
Technology,Phones,-31.05,3,124,124.2
Technology,Copiers,180,4,1200,1199.98
Technology,Phones,-100.79,4,432,431.98
Technology,Phones,-255.74,5,1023,1022.97
Technology,Phones,17.16,1,66,65.99
Technology,Accessories,115,2,500,499.98
Technology,Accessories,8,2,100,99.98
Technology,Copiers,629.99,2,1400,1399.98
Technology,Phones,51.83,2,192,191.98
Technology,Phones,195.99,2,700,699.98
Technology,Accessories,16.25,3,48,47.79
Technology,Accessories,22.65,3,63,62.91
Technology,Phones,8.46,3,29,29.16
Technology,Accessories,63.98,5,200,199.95
Technology,Accessories,48.33,5,146,146.45
Technology,Machines,2799.98,5,8750,8749.95
Technology,Phones,58.81,5,226,226.2
Technology,Phones,55.65,5,206,206.1
Technology,Phones,50.44,6,174,173.94
Technology,Accessories,7.2,1,48,47.99
Technology,Accessories,22,1,80,79.99
Technology,Copiers,90,2,480,479.98
Technology,Phones,6.8,2,109,108.78
Technology,Accessories,81.59,3,384,383.98
Technology,Phones,1.38,5,22,22
Technology,Accessories,41.99,7,336,335.94
Technology,Phones,327.59,13,4368,4367.9
Technology,Accessories,38,1,100,99.99
Technology,Accessories,35.99,2,120,119.98
Technology,Accessories,10.5,2,50,50
Technology,Accessories,38.08,2,238,238
Technology,Accessories,8.57,2,22,21.98
Technology,Accessories,395.99,3,990,989.97
Technology,Accessories,20.77,3,53,53.25
Technology,Accessories,22.67,3,108,107.97
Technology,Accessories,89.96,3,428,428.4
Technology,Accessories,10.88,3,44,43.5
Technology,Accessories,12.96,4,72,72
Technology,Accessories,29.03,5,83,82.95
Technology,Accessories,32.89,5,235,234.95
Technology,Accessories,25.33,7,68,68.46
Technology,Accessories,63.78,9,148,148.32
Technology,Accessories,80.84,9,539,538.92
Technology,Accessories,130.75,12,436,435.84
Technology,Phones,2.59,1,30,29.59
Technology,Phones,23.8,1,272,271.99
Technology,Accessories,1.45,2,23,23.2
Technology,Phones,13.17,2,35,35.12
Technology,Phones,17,2,136,135.98
Technology,Phones,41.99,2,480,479.92
Technology,Phones,-20.14,2,85,84.78
Technology,Phones,12.6,2,202,201.58
Technology,Phones,56,2,560,559.98
Technology,Phones,-4.68,2,21,20.78
Technology,Phones,8.77,3,140,140.38
Technology,Phones,9,3,72,71.98
Technology,Machines,503.64,4,4477,4476.8
Technology,Phones,34.74,4,96,95.84
Technology,Phones,36,4,320,319.97
Technology,Phones,22.68,4,202,201.57
Technology,Copiers,944.99,5,2800,2799.96
Technology,Copiers,224.99,5,1200,1199.96
Technology,Machines,130.21,5,386,385.8
Technology,Phones,12.99,5,40,39.96
Technology,Phones,38.4,5,384,383.96
Technology,Accessories,10.55,6,77,76.75
Technology,Phones,37.8,6,605,604.75
Technology,Phones,97.01,7,862,862.34
Technology,Phones,83.51,8,742,742.34
Technology,Phones,125.27,12,1114,1113.5
Technology,Accessories,36.28,1,110,109.95
Technology,Accessories,29.99,1,143,142.8
Technology,Accessories,1.89,1,13,13.48
Technology,Phones,33.32,1,119,118.99
Technology,Phones,2.28,1,9,8.78
Technology,Phones,3.05,1,11,10.9
Technology,Accessories,29.52,2,80,79.78
Technology,Accessories,42.99,2,100,99.98
Technology,Accessories,25.19,2,60,59.98
Technology,Phones,6.7,2,24,23.92
Technology,Phones,83.99,2,300,299.98
Technology,Phones,11.73,2,42,41.9
Technology,Phones,74.81,2,258,257.98
Technology,Phones,27.43,2,98,97.98
Technology,Phones,51.83,2,192,191.98
Technology,Phones,10.07,2,36,35.98
Technology,Accessories,163.19,3,480,479.97
Technology,Accessories,32.06,3,178,178.11
Technology,Phones,13.25,3,51,50.97
Technology,Phones,58.79,3,210,209.97
Technology,Phones,78.95,3,282,281.97
Technology,Phones,105.83,3,378,377.97
Technology,Phones,0.3,3,30,29.97
Technology,Phones,133.97,3,462,461.97
Technology,Accessories,16,4,200,199.96
Technology,Accessories,19.83,4,64,63.96
Technology,Accessories,102.19,4,292,291.96
Technology,Phones,124.78,4,260,259.96
Technology,Phones,76.55,4,264,263.96
Technology,Phones,165.35,4,636,635.96
Technology,Phones,743.99,4,2480,2479.96
Technology,Phones,134.39,4,480,479.96
Technology,Phones,285.99,4,1100,1099.96
Technology,Accessories,143.98,5,400,399.95
Technology,Accessories,67.19,5,280,279.95
Technology,Accessories,544.42,5,1650,1649.75
Technology,Phones,41.99,5,150,149.95
Technology,Phones,223.29,5,770,769.95
Technology,Phones,35.2,6,126,125.7
Technology,Phones,378.17,9,1454,1454.49
Technology,Phones,123.45,9,441,440.91
Technology,Accessories,-2.07,1,55,55.2
Technology,Accessories,-2.99,1,48,47.9
Technology,Accessories,7,1,40,39.99
Technology,Phones,13.23,1,151,151.19
Technology,Phones,9.6,1,96,95.99
Technology,Accessories,-3.27,2,26,26.18
Technology,Accessories,14,2,80,79.98
Technology,Accessories,25.6,2,128,127.98
Technology,Accessories,4.46,2,25,25.49
Technology,Accessories,16,2,128,127.98
Technology,Accessories,4.4,2,19,18.53
Technology,Accessories,-0.6,2,24,24.03
Technology,Accessories,7.62,2,47,46.86
Technology,Phones,16.7,2,148,148.48
Technology,Phones,16.68,2,222,222.38
Technology,Phones,12,2,160,159.98
Technology,Phones,3.47,2,11,11.12
Technology,Phones,-9,2,40,39.98
Technology,Phones,13.44,2,154,153.58
Technology,Phones,1.91,2,19,19.14
Technology,Phones,2.39,2,32,31.92
Technology,Phones,16.7,2,148,148.48
Technology,Phones,20.16,2,202,201.58
Technology,Accessories,7.47,3,40,39.82
Technology,Accessories,0.74,3,2,2.38
Technology,Accessories,2.04,3,82,81.58
Technology,Accessories,17.88,3,68,68.11
Technology,Accessories,-7.12,3,41,40.68
Technology,Accessories,-4.9,3,44,43.56
Technology,Accessories,1.8,3,48,47.98
Technology,Accessories,28.5,3,228,227.98
Technology,Accessories,24,3,192,191.98
Technology,Copiers,161.99,3,480,479.98
Technology,Phones,36.45,3,324,323.98
Technology,Phones,109.34,3,972,971.88
Technology,Phones,15.07,3,241,241.18
Technology,Phones,5.21,3,17,16.68
Technology,Phones,18,3,240,239.98
Technology,Phones,7.77,3,89,88.78
Technology,Phones,32.4,3,432,431.98
Technology,Phones,47.04,3,470,470.38
Technology,Accessories,51.19,4,256,255.97
Technology,Accessories,28.8,4,192,191.97
Technology,Accessories,6.43,4,22,22.37
Technology,Copiers,485.99,4,1440,1439.97
Technology,Phones,250.4,4,2003,2003.17
Technology,Phones,47.98,4,384,383.84
Technology,Phones,144,4,1440,1439.97
Technology,Phones,30.72,4,307,307.17
Technology,Phones,4.08,4,54,54.37
Technology,Phones,62.99,4,168,167.97
Technology,Accessories,-8.18,5,65,65.44
Technology,Accessories,45.14,5,172,171.96
Technology,Copiers,624.99,5,2000,1999.96
Technology,Phones,19.6,5,196,195.96
Technology,Phones,24.73,5,220,219.8
Technology,Phones,25.19,5,72,71.96
Technology,Phones,37.49,5,300,299.96
Technology,Accessories,-9.28,6,106,106.08
Technology,Accessories,47.99,6,384,383.95
Technology,Phones,49.32,6,658,657.55
Technology,Phones,69.65,6,619,619.15
Technology,Accessories,95.19,7,476,475.94
Technology,Accessories,-0.63,7,50,50.12
Technology,Accessories,48.99,7,280,279.94
Technology,Accessories,5.74,7,42,41.72
Technology,Phones,47.04,7,538,537.54
Technology,Accessories,64.79,9,432,431.93
Technology,Phones,148.49,9,1980,1979.93
Technology,Accessories,38.46,11,154,153.82
Technology,Machines,-19.47,3,1363,1362.9
Technology,Machines,-97.72,2,419,418.8
Technology,Machines,33.59,3,288,287.91
Technology,Machines,33.59,3,288,287.91
Technology,Machines,-199.77,5,999,998.85
Technology,Accessories,36.85,1,100,99.6
Technology,Accessories,28.8,1,80,79.99
Technology,Phones,36.99,1,137,136.99
Technology,Phones,10.56,1,22,21.99
Technology,Phones,1.29,1,43,42.95
Technology,Phones,13.34,1,46,45.99
Technology,Phones,187.8,1,626,625.99
Technology,Accessories,38.08,2,238,238
Technology,Accessories,7.65,2,23,23.18
Technology,Accessories,30.44,2,72,72.48
Technology,Accessories,371.32,2,844,843.9
Technology,Accessories,217.77,2,660,659.9
Technology,Accessories,12,2,50,50
Technology,Accessories,83.99,2,200,199.98
Technology,Phones,74.81,2,258,257.98
Technology,Phones,5.19,2,20,19.98
Technology,Phones,43.19,2,90,89.98
Technology,Phones,74.81,2,258,257.98
Technology,Phones,19.97,2,74,73.98
Technology,Phones,74.97,2,300,299.9
Technology,Phones,29.25,2,117,116.98
Technology,Phones,3.91,2,14,13.98
Technology,Phones,0.78,2,26,25.98
Technology,Accessories,71.99,3,240,239.97
Technology,Accessories,13.67,3,32,31.8
Technology,Accessories,4.95,3,45,45
Technology,Accessories,57.12,3,357,357
Technology,Accessories,34.91,3,85,85.14
Technology,Accessories,14.99,3,60,59.97
Technology,Accessories,18.89,3,90,89.97
Technology,Accessories,39.59,3,90,89.97
Technology,Copiers,5039.99,3,10500,10499.97
Technology,Machines,31.01,3,66,65.97
Technology,Machines,209.24,3,465,464.97
Technology,Phones,94.49,3,378,377.97
Technology,Phones,25.19,3,90,89.97
Technology,Phones,44.99,3,180,179.97
Technology,Phones,78.95,3,282,281.97
Technology,Phones,131.35,3,438,437.85
Technology,Phones,109.61,3,378,377.97
Technology,Phones,67.19,3,240,239.97
Technology,Phones,134.99,3,540,539.97
Technology,Phones,58.79,3,210,209.97
Technology,Phones,35.86,3,138,137.94
Technology,Accessories,39.54,4,92,91.96
Technology,Accessories,2.52,4,8,7.88
Technology,Machines,225.6,4,480,480
Technology,Machines,2239.99,4,7000,6999.96
Technology,Phones,10.39,4,40,39.96
Technology,Phones,219.51,4,784,783.96
Technology,Phones,125.99,4,504,503.96
Technology,Phones,249.91,4,862,861.76
Technology,Phones,1.36,4,68,67.8
Technology,Accessories,30.43,5,95,95.1
Technology,Accessories,14.99,5,150,149.95
Technology,Accessories,21.99,5,200,199.95
Technology,Accessories,171.93,5,391,390.75
Technology,Machines,1159.99,5,4000,3999.95
Technology,Phones,43.18,5,90,89.95
Technology,Phones,86.25,5,345,345
Technology,Phones,36.73,5,75,74.95
Technology,Phones,22.09,5,85,84.95
Technology,Accessories,206.32,6,469,468.9
Technology,Phones,88.05,6,180,179.7
Technology,Accessories,601.97,7,1400,1399.93
Technology,Machines,296.07,7,630,629.93
Technology,Machines,2400.97,7,4900,4899.93
Technology,Phones,357.19,7,1323,1322.93
Technology,Phones,1228.18,7,4549,4548.81
Technology,Phones,2.73,7,91,90.93
Technology,Phones,220.48,7,882,881.93
Technology,Machines,648.56,8,1380,1379.92
Technology,Phones,135.98,8,544,543.92
Technology,Accessories,97.19,9,1620,1619.91
Technology,Accessories,42.89,1,264,263.96
Technology,Accessories,3.37,1,14,14.2
Technology,Accessories,7.5,1,40,39.99
Technology,Accessories,4.46,2,25,25.49
Technology,Accessories,-4.75,2,27,27.12
Technology,Accessories,19.18,2,64,63.92
Technology,Accessories,6.99,2,28,27.97
Technology,Accessories,16.79,2,58,58.42
Technology,Copiers,60,2,480,479.98
Technology,Accessories,0.9,3,72,71.98
Technology,Accessories,12,3,60,59.98
Technology,Accessories,0.51,3,41,40.78
Technology,Accessories,2.17,3,35,34.8
Technology,Accessories,0.51,3,41,40.78
Technology,Accessories,-0.34,3,28,27.55
Technology,Accessories,1.08,3,86,86.38
Technology,Accessories,57.6,4,288,288
Technology,Accessories,8.8,4,37,37.06
Technology,Accessories,-1.43,4,19,19.04
Technology,Accessories,28.79,4,96,95.97
Technology,Accessories,-6.45,5,52,51.56
Technology,Accessories,41.72,7,159,158.93
Technology,Accessories,-55.3,7,442,442.4
Technology,Phones,-2.25,1,13,13.49
Technology,Phones,-56.31,2,260,259.9
Technology,Phones,-47.4,2,259,258.53
Technology,Phones,-13.99,2,24,23.99
Technology,Phones,-77,2,330,329.99
Technology,Phones,-81,3,324,323.98
Technology,Phones,-15.18,3,83,82.78
Technology,Phones,-24.48,3,122,122.38
Technology,Phones,-115.5,3,495,494.98
Technology,Phones,-10.8,3,54,53.98
Technology,Phones,-27.72,3,119,118.78
Technology,Phones,41.79,3,358,358.2
Technology,Copiers,1120,4,8400,8399.98
Technology,Copiers,126,4,1080,1079.98
Technology,Phones,-36.95,4,158,158.38
Technology,Phones,-250.4,4,1502,1502.38
Technology,Phones,-25.33,4,109,108.58
Technology,Phones,-57.12,4,286,285.58
Technology,Phones,15.82,4,95,94.92
Technology,Copiers,70,5,600,599.97
Technology,Phones,-71.99,5,360,359.97
Technology,Phones,-24.04,5,111,110.97
Technology,Phones,19.78,5,119,118.65
Technology,Phones,-107.99,6,540,539.96
Technology,Phones,-107.99,6,540,539.96
Technology,Phones,-10.05,7,50,50.23
Technology,Phones,-40.47,8,221,220.75
Technology,Phones,-47.03,8,235,235.15
Technology,Phones,-377.99,9,1890,1889.95
Technology,Phones,72.79,14,546,545.92
Technology,Machines,-172.49,3,207,206.99
Technology,Machines,-6599.98,5,4500,4499.99
Technology,Machines,-24.28,7,30,30.35
Technology,Accessories,3,1,30,29.99
Technology,Phones,39.43,1,136,135.95
Technology,Accessories,171.99,2,400,399.98
Technology,Accessories,217.77,2,660,659.9
Technology,Accessories,6.92,2,23,23.08
Technology,Accessories,71.39,3,210,209.97
Technology,Accessories,8.62,3,66,66.3
Technology,Accessories,103.16,3,234,234.45
Technology,Machines,239.99,3,480,479.97
Technology,Machines,90.29,3,210,209.97
Technology,Phones,0,3,60,59.97
Technology,Phones,98.27,3,378,377.97
Technology,Phones,77.75,3,288,287.97
Technology,Phones,67.19,3,240,239.97
Technology,Phones,170.51,3,588,587.97
Technology,Phones,0.3,3,30,29.97
Technology,Phones,32.98,3,114,113.73
Technology,Phones,197.99,3,660,659.97
Technology,Phones,32.98,3,114,113.73
Technology,Phones,140.39,3,468,467.97
Technology,Accessories,4.07,4,68,67.8
Technology,Accessories,18.39,4,80,79.96
Technology,Accessories,23.4,4,52,52
Technology,Accessories,53.75,4,224,223.96
Technology,Machines,190.08,4,396,396
Technology,Phones,7.98,4,30,29.56
Technology,Phones,125.99,4,504,503.96
Technology,Phones,67.99,4,272,271.96
Technology,Accessories,20,5,250,249.95
Technology,Accessories,107.48,5,250,249.95
Technology,Accessories,111.59,5,620,619.95
Technology,Phones,176.39,5,630,629.95
